Implemented,Name,Description,Unit,Resolution,Default,Min,Max,Datatype,Modbus Addr,Type,Length,FCr,FCw,Access
,SOH - State of Health,"SOH of System,String and Module in Min,Max and Avg",%,0.01,0,0,10000,UINT16,6768,Register,192,03,,r
,SohMinSystem,,%,0.01,0,0,10000,UINT16,6768,Register,1,03,,r
,SohMinString1,,%,0.01,0,0,10000,UINT16,6769,Register,1,03,,r
,SohMinString1ModuleX,,%,0.01,0,0,10000,UINT16,6770,Register,20,03,,r
,SohMinString2,,%,0.01,0,0,10000,UINT16,6790,Register,1,03,,r
,SohMinString2ModuleX,,%,0.01,0,0,10000,UINT16,6791,Register,20,03,,r
,SohMinString3,,%,0.01,0,0,10000,UINT16,6811,Register,1,03,,r
,SohMinString3ModuleX,,%,0.01,0,0,10000,UINT16,6812,Register,20,03,,r
,SohMaxSystem,,%,0.01,0,0,10000,UINT16,6832,Register,1,03,,r
,SohMaxString1,,%,0.01,0,0,10000,UINT16,6833,Register,1,03,,r
,SohMaxString1ModuleX,,%,0.01,0,0,10000,UINT16,6834,Register,20,03,,r
,SohMaxString2,,%,0.01,0,0,10000,UINT16,6854,Register,1,03,,r
,SohMaxString2ModuleX,,%,0.01,0,0,10000,UINT16,6855,Register,20,03,,r
,SohMaxString3,,%,0.01,0,0,10000,UINT16,6875,Register,1,03,,r
,SohMaxString3ModuleX,,%,0.01,0,0,10000,UINT16,6876,Register,20,03,,r
,SohAvgSystem,,%,0.01,0,0,10000,UINT16,6896,Register,1,03,,r
,SohAvgString1,,%,0.01,0,0,10000,UINT16,6897,Register,1,03,,r
,SohAvgString1ModuleX,,%,0.01,0,0,10000,UINT16,6898,Register,20,03,,r
,SohAvgString2,,%,0.01,0,0,10000,UINT16,6918,Register,1,03,,r
,SohAvgString2ModuleX,,%,0.01,0,0,10000,UINT16,6919,Register,20,03,,r
,SohAvgString3,,%,0.01,0,0,10000,UINT16,6939,Register,1,03,,r
,SohAvgString3ModuleX,,%,0.01,0,0,10000,UINT16,6940,Register,20,03,,r
,CurrentLimits,Current Limits of System and String depend on Charge and Discharge,A,0.01,0,0,20000,UINT16,6960,Register,8,03,,r
,CurrentLimitDischargeSystem,,A,1.0,0,-98,98,UINT16,6960,Register,1,03,,r
,CurrentLimitDischargeString1,,A,1.0,0,-98,98,UINT16,6961,Register,1,03,,r
,CurrentLimitDischargeString2,,A,1.0,0,-98,98,UINT16,6962,Register,1,03,,r
,CurrentLimitDischargeString3,,A,1.0,0,-98,98,UINT16,6963,Register,1,03,,r
,CurrentLimitChargeSystem,,A,1.0,0,-98,98,UINT16,6964,Register,1,03,,r
,CurrentLimitChargeString1,,A,1.0,0,-98,98,UINT16,6965,Register,1,03,,r
,CurrentLimitChargeString2,,A,1.0,0,-98,98,UINT16,6966,Register,1,03,,r
,CurrentLimitChargeString3,,A,1.0,0,-98,98,UINT16,6967,Register,1,03,,r
,CapacityTotal,Battery Capacity,Ah,1.0,0,-,-,UINT16,6968,Register,1,04,,r
,ActivePowerModSetpointString1ModuleX,"Active power set point for each Module of String 1; for research projects, not commercial use",W,1.0,0,-10000,10000,UINT16,7000,Register,20,,06,w
,ActivePowerModSetpointString2ModuleX,"Active power set point for each Module of String 2; for research projects, not commercial use",W,1.0,0,-10000,10000,UINT16,7020,Register,20,,06,w
,ActivePowerModSetpointString3ModuleX,"Active power set point for each Module of String 3; for research projects, not commercial use",W,1.0,0,-10000,10000,UINT16,7040,Register,20,,06,w
,ActualValuesParamList,,,,,,,,,,,,,
,ActualMainState,"State of device: Init -> 0, Ready -> 1, Idle -> 2, Run -> 3, Error -> 4, Emergency -> 5, Standby -> 6",-,1.0,0,0,6,INT16,5000,Register,1,04,,r
,NumberOfConnectedStablModulesL1,Number of connected Stabl Modules on L1,cnt,1.0,0,0,16,UINT16,5001,Register,1,04,,r
,NumberOfConnectedStablModulesL2,Number of connected Stabl Modules on L2,cnt,1.0,0,0,16,UINT16,5002,Register,1,04,,r
,NumberOfConnectedStablModulesL3,Number of connected Stabl Modules on L3,cnt,1.0,0,0,16,UINT16,5003,Register,1,04,,r
,AcDcActiveGridType,"Actvie grid type:

0 = grid-tied, 400V, 50Hz
1 = grid-tied, 480V, 60Hz
2 = island mode, 400V, 50Hz
3 = island mode, 480V, 60Hz
4 = grid-tied, 380V, 60Hz",-,1.0,0,0,4,UINT16,5023,Register,1,04,,r
,ActiveGridCode,see register 4010,-,1.0,0,0,0,UINT16,5024,Register,1,04,,r
,ActualPowerAcL1,Active power L1,kW,0.01,0,-6750,6750,INT16,5140,Register,1,04,,r
,ActualPowerAcL2,Active power L2,kW,0.01,0,-6750,6750,INT16,5141,Register,1,04,,r
,ActualPowerAcL3,Active power L3,kW,0.01,0,-6750,6750,INT16,5142,Register,1,04,,r
,ReactivePowerAcL1,Reactive power L1,kVAR,0.01,0,-6750,6750,INT16,5143,Register,1,04,,r
,ReactivePowerAcL2,Reactive power L2,kVAR,0.01,0,-6750,6750,INT16,5144,Register,1,04,,r
,ReactivePowerAcL3,Reactive power L3,kVAR,0.01,0,-6750,6750,INT16,5145,Register,1,04,,r
,GridVoltageL1,Grid voltage RMS L1,V,0.01,0,0,31000,UINT16,5160,Register,1,04,,r
,GridVoltageL2,Grid voltage RMS L2,V,0.01,0,0,31000,UINT16,5161,Register,1,04,,r
,GridVoltageL3,Grid voltage RMS L3,V,0.01,0,0,31000,UINT16,5162,Register,1,04,,r
,InletAirTemperature,Inlet Air temperature,°C,0.01,0,-,-,INT16,5500,Register,1,04,,r
,mcuCoreTemperature,core temperature of Mastercontroller,°C,0.01,0,-,-,INT16,5501,Register,1,04,,r
,maintainenceMode,EMS commands blocked protect the system if remote access is active and system changes are in operation,-,1.0,0,0,1,UINT16,5600,Register,1,04,,r
,ErrorsAndWarnings,,,,,,,,,,,,,
,TotalWarningsCnt,Sum of all pending warnings,Count,,,0,19,UINT16,2401,Register,1,04,,
,Warnings,Warning Code of Alarms,,,,,,UINT16,2403,Register,1,04,,r
,Warning1,,,,,,,UINT16,2403,Register,1,04,,r
,Warning2,,,,,,,UINT16,2404,Register,1,04,,r
,Warning3,,,,,,,UINT16,2405,Register,1,04,,r
,Warning4,,,,,,,UINT16,2406,Register,1,04,,r
,Warning5,,,,,,,UINT16,2407,Register,1,04,,r
,Warning6,,,,,,,UINT16,2408,Register,1,04,,r
,Warning7,,,,,,,UINT16,2409,Register,1,04,,r
,Warning8,,,,,,,UINT16,2410,Register,1,04,,r
,Warning9,,,,,,,UINT16,2411,Register,1,04,,r
,Warning10,,,,,,,UINT16,2412,Register,1,04,,r
,Warning11,,,,,,,UINT16,2413,Register,1,04,,r
,Warning12,,,,,,,UINT16,2414,Register,1,04,,r
,Warning13,,,,,,,UINT16,2415,Register,1,04,,r
,Warning14,,,,,,,UINT16,2416,Register,1,04,,r
,Warning15,,,,,,,UINT16,2417,Register,1,04,,r
,Warning16,,,,,,,UINT16,2418,Register,1,04,,r
,Warning17,,,,,,,UINT16,2419,Register,1,04,,r
,Warning18,,,,,,,UINT16,2420,Register,1,04,,r
,Warning19,,,,,,,UINT16,2421,Register,1,04,,r
,Warning20,,,,,,,UINT16,2422,Register,1,04,,r
,TotalAlarmsCnt,Sum of all pending alarms,Count,,,0,19,UINT16,2808,Register,1,04,,r
,Alarms,Error Code of Alarms,,,,,,UINT16,2810,Register,1,04,,r
,Alarm1,,,,,,,UINT16,2810,Register,1,04,,r
,Alarm2,,,,,,,UINT16,2811,Register,1,04,,r
,Alarm3,,,,,,,UINT16,2812,Register,1,04,,r
,Alarm4,,,,,,,UINT16,2813,Register,1,04,,r
,Alarm5,,,,,,,UINT16,2814,Register,1,04,,r
,Alarm6,,,,,,,UINT16,2815,Register,1,04,,r
,Alarm7,,,,,,,UINT16,2816,Register,1,04,,r
,Alarm8,,,,,,,UINT16,2817,Register,1,04,,r
,Alarm9,,,,,,,UINT16,2818,Register,1,04,,r
,Alarm10,,,,,,,UINT16,2819,Register,1,04,,r
