ActivePower,ActiveProductionEnergy
4129,3087.815496
4131.666,3089.676192
4031.833,3091.352628
4060.166,3093.073433
4101.333,3094.861127
4037.833,3096.530104
4028.666,3098.176987
4064.333,3099.880966
4045.333,3101.545494
4046.666,3103.206515
3991,3104.764047
3942.166,3106.2306
3936,3107.681246
3880.5,3109.02997
3856.666,3110.332472
3855.5,3111.628415
3835.833,3112.885715
3853.5,3114.169275
3850.5,3115.443204
3785.333,3116.600181
3727,3117.652594
3698.666,3118.652618
3496,3119.300981
685.6666,3115.126651
723.5,3111.0314
730,3106.961261
1877,3104.862351
2965.666,3104.625219
3567,3105.41157
3735,3106.480481
3695.5,3107.478819
3668.333,3108.427811
3684.333,3109.400624
3631.5,3110.281061
3672.666,3111.227837
3619.833,3112.082636
3561,3112.835853
3575.333,3113.610555
3592.166,3114.410815
3587,3115.199779
3559,3115.939446
3557.333,3116.673878
3504.666,3117.318383
719.6666,3113.342177
1373.666,3110.461919
3440.5,3111.007436
2905.333,3110.66804
3359.666,3111.07825
3362.666,3111.492046
3362.333,3111.903936
3355.666,3112.303546
3366.333,3112.719306
3296.833,3113.020145
3202.666,3113.166387
3042.5,3113.051295
3260.833,3113.29159
3230.666,3113.482133
3225.166,3113.663144
3212.833,3113.823613
3221.833,3113.998103
3195.833,3114.130095
3210.5,3114.28528
2826.166,3113.822066
1655,3111.480457
2976.166,3111.263607
3049.333,3111.164518
3087,3111.125917
3049,3111.026833
3049.166,3110.928328
3086,3110.888696
3061.666,3110.810565
3020.5,3110.667442
1678.666,3108.401617
571.1666,3104.393347
545.1666,3100.356712
521,3096.294733
517.6666,3092.240286
540,3088.233629
575.8333,3084.295698
1756,3082.216988
2906.666,3081.942689
2887.833,3081.639866
2910.333,3081.373033
2950.5,3081.169498
2874.166,3080.848064
1643,3078.618842
957.3333,3075.335118
1170.833,3072.391529
3007.333,3072.29113
1317.833,3069.587805
891.5,3066.236901
1141.166,3063.279802
715,3059.678146
670.6666,3056.019629
637.1666,3052.321077
622.3333,3048.611172
628.8333,3044.922487
767,3041.455329
2626.666,3040.82495
2781,3040.430679
2801,3040.067905
2821.5,3039.737242
2779.333,3039.343882
2785.5,3038.961011
2794.333,3038.592595
2699,3038.08193
2651,3037.500726
2582.666,3036.818814
2219.333,3035.595033
2408.666,3034.65792
2626.333,3034.048479
2605,3033.409063
1544,3031.19268
2421.166,3030.286251
2658.333,3029.734392
2405.666,3028.809846
2362.5,3027.824181
2646.833,3027.261417
2709.5,3026.792742
2694.166,3026.302865
2602,3025.67889
2501.5,3024.909171
2444.333,3024.057886
2489.5,3023.275224
2488.333,3022.493145
2475.333,3021.694371
2459.333,3020.874602
1942.666,3019.305157
622.5,3015.821429
596.1666,3012.309593
578.6666,3008.782574
1260,3006.251775
923.8333,3003.2425
1003.666,3000.357108
2089.833,2999.045113
2210.666,2997.910755
2201.833,2996.766965
2269.5,2995.72354
1528,2993.620785
597,2990.192143
558,2986.717582
514.8333,2983.191357
455.5,2979.590657
469.8333,2976.020589
474,2972.466583
496.1666,2968.954101
592,2965.58731
559,2962.183368
1230.166,2959.737015
2084.5,2958.502549
2102.166,2957.296441
2080.166,2956.062783
2058.666,2954.802395
2046.833,2953.528945
2041.166,2952.251126
2015,2950.940285
1993.833,2949.603543
1954.166,2948.215206
1936.5,2946.806132
1900.5,2945.350908
1878.5,2943.869171
1830.666,2942.3252
1540.333,2940.383382
1205,2937.983128
1295,2935.713815
1509,2933.745934
1616.666,2931.931774
1586.666,2930.08134
1576.5,2928.222025
1559.333,2926.344262
1315.833,2924.138082
1065.833,2921.595941
1066.5,2919.061657
1180.5,2916.689813
1155.333,2914.290144
1365.5,2912.182947
1570.166,2910.359554
1548.333,2908.511486
1500.833,2906.604062
1478.166,2904.671128
1473.833,2902.737563
1459.166,2900.789424
1382.333,2898.742986
1438,2896.77698
1438.166,2894.816481
1392.5,2892.799949
1322.5,2890.694989
1279.5,2888.538102
1191.166,2886.268888
1142.5,2883.940758
1116.333,2881.583948
1100.666,2879.212552
1068,2876.804025
1022.333,2874.341248
977.1666,2871.825101
928.1666,2869.250719
925,2866.678959
982.3333,2864.189731
966.1666,2861.685743
922.5,2859.130821
881.1666,2856.528236
848.8333,2853.890004
811.8333,2851.210139
869.5,2848.612878
799.3333,2845.930575
728.8333,2843.163128
599.1666,2840.233628
630.8333,2837.353054
665.1666,2834.524687
623.3333,2831.649275
618.1666,2828.774622
489.5,2825.740544
52.33333,2822.148047
0,2818.497144
0,2814.855675
0,2811.223603
0,2807.600892
0,2803.987506
0,2800.383409
0,2796.788566
0,2793.202939
0,2789.626495
0,2786.059198
0,2782.501012
0,2778.951904
0,2775.411838
0,2771.880779
0,2768.358694
0,2764.845549
0,2761.341309
0,2757.84594
0,2754.359409
0,2750.881682
0,2747.412727
0,2743.952509
0,2740.500997
0,2737.058156
0,2733.623955
0,2730.198362
0,2726.781342
0,2723.372866
0,2719.9729
